ID	prefLabel	Synonyms_from_taxonomy	Curated_synonyms	Comment	Classification	Classification_comment	Classification_pub
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_23	Inh L1-3 VIP GGH	MTG 023|Inh L1-3 VIP GGH		cell_set_preferred_alias:Inh L1-3 VIP GGH ; original_label:Inh L1-3 VIP GGH ; cell_set_label:MTG 023 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_102		MTG 024-027|n27		cell_set_preferred_alias:'' ; original_label:n27 ; cell_set_label:MTG 024-027 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_103		n28|MTG 024-025		cell_set_preferred_alias:'' ; original_label:n28 ; cell_set_label:MTG 024-025 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_24	Inh L1-2 VIP LBH	Inh L1-2 VIP LBH|MTG 024		cell_set_preferred_alias:Inh L1-2 VIP LBH ; original_label:Inh L1-2 VIP LBH ; cell_set_label:MTG 024 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_25	Inh L2-3 VIP CASC6	MTG 025|Inh L2-3 VIP CASC6		cell_set_preferred_alias:Inh L2-3 VIP CASC6 ; original_label:Inh L2-3 VIP CASC6 ; cell_set_label:MTG 025 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_104		n29|MTG 026-027		cell_set_preferred_alias:'' ; original_label:n29 ; cell_set_label:MTG 026-027 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_26	Inh L2-4 VIP SPAG17	MTG 026|Inh L2-4 VIP SPAG17		cell_set_preferred_alias:Inh L2-4 VIP SPAG17 ; original_label:Inh L2-4 VIP SPAG17 ; cell_set_label:MTG 026 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_27	Inh L1-4 VIP OPRM1	Inh L1-4 VIP OPRM1|MTG 027		cell_set_preferred_alias:Inh L1-4 VIP OPRM1 ; original_label:Inh L1-4 VIP OPRM1 ; cell_set_label:MTG 027 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_105	LHX6 (MGE)	MTG 028-045|LHX6 (MGE)|n30		cell_set_preferred_alias:LHX6 (MGE) ; original_label:n30 ; cell_set_label:MTG 028-045 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_106		MTG 028-044|n31		cell_set_preferred_alias:'' ; original_label:n31 ; cell_set_label:MTG 028-044 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_28	Inh L3-6 SST NPY	Inh L3-6 SST NPY|MTG 028|Sst Chodl		cell_set_preferred_alias:Inh L3-6 SST NPY ; original_label:Inh L3-6 SST NPY ; cell_set_label:MTG 028 ; cell_set_aligned_alias:Sst Chodl ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_107		MTG 029-044|n32		cell_set_preferred_alias:'' ; original_label:n32 ; cell_set_label:MTG 029-044 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_108	SST	Sst|MTG 029-038|n33|SST		cell_set_preferred_alias:SST ; original_label:n33 ; cell_set_label:MTG 029-038 ; cell_set_aligned_alias:Sst ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_109		MTG 029-037|n34		cell_set_preferred_alias:'' ; original_label:n34 ; cell_set_label:MTG 029-037 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_110		n35|MTG 029-034		cell_set_preferred_alias:'' ; original_label:n35 ; cell_set_label:MTG 029-034 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_29	Inh L3-6 SST HPGD	Inh L3-6 SST HPGD|MTG 029		cell_set_preferred_alias:Inh L3-6 SST HPGD ; original_label:Inh L3-6 SST HPGD ; cell_set_label:MTG 029 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_111		n36|MTG 030-034		cell_set_preferred_alias:'' ; original_label:n36 ; cell_set_label:MTG 030-034 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_112		n37|MTG 030-033		cell_set_preferred_alias:'' ; original_label:n37 ; cell_set_label:MTG 030-033 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_113		n38|MTG 030-031		cell_set_preferred_alias:'' ; original_label:n38 ; cell_set_label:MTG 030-031 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_30	Inh L4-6 SST B3GAT2	Inh L4-6 SST B3GAT2|MTG 030		cell_set_preferred_alias:Inh L4-6 SST B3GAT2 ; original_label:Inh L4-6 SST B3GAT2 ; cell_set_label:MTG 030 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_31	Inh L5-6 SST KLHDC8A	MTG 031|Inh L5-6 SST KLHDC8A		cell_set_preferred_alias:Inh L5-6 SST KLHDC8A ; original_label:Inh L5-6 SST KLHDC8A ; cell_set_label:MTG 031 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_114		n39|MTG 032-033		cell_set_preferred_alias:'' ; original_label:n39 ; cell_set_label:MTG 032-033 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_32	Inh L5-6 SST NPM1P10	MTG 032|Inh L5-6 SST NPM1P10		cell_set_preferred_alias:Inh L5-6 SST NPM1P10 ; original_label:Inh L5-6 SST NPM1P10 ; cell_set_label:MTG 032 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_33	Inh L4-6 SST GXYLT2	MTG 033|Inh L4-6 SST GXYLT2		cell_set_preferred_alias:Inh L4-6 SST GXYLT2 ; original_label:Inh L4-6 SST GXYLT2 ; cell_set_label:MTG 033 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_34	Inh L4-5 SST STK32A	Inh L4-5 SST STK32A|MTG 034		cell_set_preferred_alias:Inh L4-5 SST STK32A ; original_label:Inh L4-5 SST STK32A ; cell_set_label:MTG 034 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_115		n40|MTG 035-037		cell_set_preferred_alias:'' ; original_label:n40 ; cell_set_label:MTG 035-037 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_116		MTG 035-036|n41		cell_set_preferred_alias:'' ; original_label:n41 ; cell_set_label:MTG 035-036 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_35	Inh L1-3 SST CALB1	MTG 035|Inh L1-3 SST CALB1		cell_set_preferred_alias:Inh L1-3 SST CALB1 ; original_label:Inh L1-3 SST CALB1 ; cell_set_label:MTG 035 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_36	Inh L3-5 SST ADGRG6	MTG 036|Inh L3-5 SST ADGRG6		cell_set_preferred_alias:Inh L3-5 SST ADGRG6 ; original_label:Inh L3-5 SST ADGRG6 ; cell_set_label:MTG 036 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201908210_37	Inh L2-4 SST FRZB	MTG 037|Inh L2-4 SST FRZB		cell_set_preferred_alias:Inh L2-4 SST FRZB ; original_label:Inh L2-4 SST FRZB ; cell_set_label:MTG 037 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''			
