ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Function
AllenDend:CS201810310_147	VISp_ALM 008-012 - CS201810310_147	L5 IT (VISp) - CS201810310_147	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_141	n14|L5 IT|L5 IT (VISp)	
AllenDend:CS201810310_148	VISp_ALM 008-010 - CS201810310_148	 - CS201810310_148	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_147	n15	
AllenDend:CS201810310_149	VISp_ALM 008-009 - CS201810310_149	 - CS201810310_149	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_148	n16	
AllenDend:CS201810310_8	VISp_ALM 008 - CS201810310_8	L5 IT VISp Hsd11b1 Endou - CS201810310_8	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_149	L5 IT VISp Hsd11b1 Endou	
AllenDend:CS201810310_9	VISp_ALM 009 - CS201810310_9	L5 IT VISp Whrn Tox2 - CS201810310_9	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_149	L5 IT VISp Whrn Tox2	
AllenDend:CS201810310_10	VISp_ALM 010 - CS201810310_10	L5 IT VISp Batf3 - CS201810310_10	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_148	L5 IT VISp Batf3	
AllenDend:CS201810310_150	VISp_ALM 011-012 - CS201810310_150	 - CS201810310_150	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_147	n17	
AllenDend:CS201810310_11	VISp_ALM 011 - CS201810310_11	L5 IT VISp Col6a1 Fezf2 - CS201810310_11	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_150	L5 IT VISp Col6a1 Fezf2	
AllenDend:CS201810310_12	VISp_ALM 012 - CS201810310_12	L5 IT VISp Col27a1 - CS201810310_12	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_150	L5 IT VISp Col27a1	
AllenDend:CS201810310_151	VISp_ALM 013-018 - CS201810310_151	L5 IT (ALM) - CS201810310_151	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_141	n18|L5 IT|L5 IT (ALM)	
AllenDend:CS201810310_152	VISp_ALM 013-014 - CS201810310_152	 - CS201810310_152	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_151	n19	
AllenDend:CS201810310_13	VISp_ALM 013 - CS201810310_13	L5 IT ALM Npw - CS201810310_13	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201810310_152	L5 IT ALM Npw	
