""	"gene_id"	"gene_name"
"11962"	"ENSMUSG00000086186"	"Ccdc34os"
"11964"	"ENSMUSG00000085444"	"Gm13936"
"11965"	"ENSMUSG00000041660"	"Bbox1"
"11967"	"ENSMUSG00000074971"	"Fibin"
"11968"	"ENSMUSG00000041644"	"Slc5a12"
"11973"	"ENSMUSG00000074968"	"Ano3"
"11976"	"ENSMUSG00000050808"	"Muc15"
"11979"	"ENSMUSG00000079171"	"Gm13942"
"11980"	"ENSMUSG00000079170"	"Gm13941"
"11981"	"ENSMUSG00000079169"	"Gm15130"
"11982"	"ENSMUSG00000027157"	"4930430A15Rik"
"11984"	"ENSMUSG00000074966"	"Olfr1275"
"11987"	"ENSMUSG00000084933"	"Gm13962"
"11988"	"ENSMUSG00000063844"	"Olfr1276"
"11991"	"ENSMUSG00000074965"	"Olfr1277"
"11993"	"ENSMUSG00000068647"	"Olfr1278"
"11999"	"ENSMUSG00000109813"	"Olfr1279"
"12002"	"ENSMUSG00000109449"	"Olfr1280"
"12005"	"ENSMUSG00000095156"	"Olfr1281"
"12007"	"ENSMUSG00000096554"	"Olfr1282"
"12008"	"ENSMUSG00000109322"	"Olfr1283"
"12011"	"ENSMUSG00000108931"	"Olfr1284"
"12013"	"ENSMUSG00000096703"	"Olfr1286"
"12016"	"ENSMUSG00000095586"	"Olfr1287"
"12017"	"ENSMUSG00000044039"	"Olfr1288"
"12019"	"ENSMUSG00000061195"	"Olfr1289"
"12022"	"ENSMUSG00000095809"	"Olfr1290"
"12026"	"ENSMUSG00000108891"	"Olfr1291-ps1"
"12028"	"ENSMUSG00000108908"	"Olfr1293-ps"
"12031"	"ENSMUSG00000109547"	"Olfr1294"
"12033"	"ENSMUSG00000108919"	"Olfr1295"
"12036"	"ENSMUSG00000094858"	"Olfr1297"
"12038"	"ENSMUSG00000109487"	"Olfr1298"
"12040"	"ENSMUSG00000109219"	"Olfr1299"
"12042"	"ENSMUSG00000057149"	"Olfr1301"
"12044"	"ENSMUSG00000044560"	"Olfr1302"
"12047"	"ENSMUSG00000093804"	"Olfr1303"
"12049"	"ENSMUSG00000074955"	"Olfr1305"
"12053"	"ENSMUSG00000096566"	"Olfr1306"
"12055"	"ENSMUSG00000094747"	"Olfr1307"
"12057"	"ENSMUSG00000074952"	"Olfr1308"
"12059"	"ENSMUSG00000109528"	"Olfr1309"
"12065"	"ENSMUSG00000108827"	"Olfr1310"
"12067"	"ENSMUSG00000109403"	"Olfr1311"
"12071"	"ENSMUSG00000074947"	"Olfr1312"
"12075"	"ENSMUSG00000074946"	"Olfr1313"
"12078"	"ENSMUSG00000074945"	"Olfr1314"
"12080"	"ENSMUSG00000109033"	"Olfr1315-ps1"
"12083"	"ENSMUSG00000109801"	"Olfr1316"
"12085"	"ENSMUSG00000050776"	"Olfr1317"
"12089"	"ENSMUSG00000049758"	"Olfr1318"
"12094"	"ENSMUSG00000027134"	"Lpcat4"
"12098"	"ENSMUSG00000041358"	"Nutm1"
"12099"	"ENSMUSG00000027133"	"Nop10"
"12100"	"ENSMUSG00000027130"	"Slc12a6"
"12108"	"ENSMUSG00000096764"	"Gm21985"
"12109"	"ENSMUSG00000027131"	"Emc4"
"12111"	"ENSMUSG00000027132"	"Katnbl1"
"12113"	"ENSMUSG00000055943"	"Emc7"
"12114"	"ENSMUSG00000074939"	"Chrm5"
"12115"	"ENSMUSG00000003604"	"Aven"
"12118"	"ENSMUSG00000057378"	"Ryr3"
"12130"	"ENSMUSG00000041255"	"Tmco5b"
"12131"	"ENSMUSG00000044042"	"Fmn1"
"12140"	"ENSMUSG00000085448"	"Gm13963"
"12141"	"ENSMUSG00000087545"	"Gm13966"
"12142"	"ENSMUSG00000087106"	"Gm13964"
"12143"	"ENSMUSG00000084798"	"4930533B01Rik"
"12144"	"ENSMUSG00000074934"	"Grem1"
"12145"	"ENSMUSG00000023236"	"Scg5"
"12147"	"ENSMUSG00000041219"	"Arhgap11a"
"12151"	"ENSMUSG00000068615"	"Gjd2"
"12152"	"ENSMUSG00000068614"	"Actc1"
"12154"	"ENSMUSG00000092397"	"C130080G10Rik"
"12159"	"ENSMUSG00000040383"	"Aqr"
"12168"	"ENSMUSG00000040321"	"Zfp770"
"12170"	"ENSMUSG00000101266"	"Gm29234"
"12171"	"ENSMUSG00000057147"	"Dph6"
"12177"	"ENSMUSG00000085222"	"Gm13974"
"12178"	"ENSMUSG00000101448"	"Gm28494"
"12179"	"ENSMUSG00000099802"	"Gm28493"
"12180"	"ENSMUSG00000087309"	"4930528P14Rik"
"12181"	"ENSMUSG00000086197"	"Gm13976"
"12182"	"ENSMUSG00000085582"	"3110099E03Rik"
"12185"	"ENSMUSG00000086735"	"Gm13977"
"12186"	"ENSMUSG00000040282"	"BC052040"
"12189"	"ENSMUSG00000027210"	"Meis2"
"12208"	"ENSMUSG00000086328"	"2700033N17Rik"
"12209"	"ENSMUSG00000086308"	"G630016G05Rik"
"12211"	"ENSMUSG00000086462"	"Gm13990"
"12212"	"ENSMUSG00000027355"	"Tmco5"
"12216"	"ENSMUSG00000085316"	"D330050G23Rik"
"12219"	"ENSMUSG00000099470"	"Gm29340"
"12220"	"ENSMUSG00000027351"	"Spred1"
"12222"	"ENSMUSG00000027349"	"Fam98b"
"12225"	"ENSMUSG00000027347"	"Rasgrp1"
"12232"	"ENSMUSG00000085681"	"Gm13982"
"12233"	"ENSMUSG00000101394"	"Gm28183"
"12234"	"ENSMUSG00000086203"	"Gm13985"
"12235"	"ENSMUSG00000086221"	"4930412B13Rik"
"12236"	"ENSMUSG00000040152"	"Thbs1"
"12238"	"ENSMUSG00000101859"	"Gm29233"
"12239"	"ENSMUSG00000027344"	"Fsip1"
"12243"	"ENSMUSG00000045339"	"A930104D05Rik"
"12245"	"ENSMUSG00000040133"	"Gpr176"
"12246"	"ENSMUSG00000085889"	"1700054M17Rik"
"12247"	"ENSMUSG00000005102"	"Eif2ak4"
"12255"	"ENSMUSG00000009549"	"Srp14"
"12259"	"ENSMUSG00000040093"	"Bmf"
"12267"	"ENSMUSG00000040084"	"Bub1b"
"12271"	"ENSMUSG00000074923"	"Pak6"
"12276"	"ENSMUSG00000078137"	"Ankrd63"
"12277"	"ENSMUSG00000040061"	"Plcb2"
"12283"	"ENSMUSG00000074918"	"Inafm2"
"12284"	"ENSMUSG00000045838"	"A430105I19Rik"
"12286"	"ENSMUSG00000046804"	"Phgr1"
"12288"	"ENSMUSG00000040035"	"Disp2"
"12293"	"ENSMUSG00000027331"	"Knstrn"
"12302"	"ENSMUSG00000086421"	"Gm14091"
"12303"	"ENSMUSG00000027332"	"Ivd"
"12311"	"ENSMUSG00000040007"	"Bahd1"
"12313"	"ENSMUSG00000074916"	"Chst14"
"12315"	"ENSMUSG00000084802"	"Gm14089"
"12316"	"ENSMUSG00000039983"	"Ccdc32"
"12319"	"ENSMUSG00000027324"	"Rpusd2"
"12320"	"ENSMUSG00000027326"	"Knl1"
"12325"	"ENSMUSG00000027323"	"Rad51"
"12333"	"ENSMUSG00000070730"	"Rmdn3"
"12340"	"ENSMUSG00000046814"	"Gchfr"
"12341"	"ENSMUSG00000034278"	"Dnajc17"
"12344"	"ENSMUSG00000055926"	"Gm14137"
"12345"	"ENSMUSG00000068580"	"Zfyve19"
"12356"	"ENSMUSG00000027317"	"Ppp1r14d"
"12358"	"ENSMUSG00000027315"	"Spint1"
"12363"	"ENSMUSG00000034226"	"Rhov"
"12364"	"ENSMUSG00000034216"	"Vps18"
"12367"	"ENSMUSG00000027314"	"Dll4"
"12369"	"ENSMUSG00000027313"	"Chac1"
"12370"	"ENSMUSG00000034154"	"Ino80"
"12373"	"ENSMUSG00000048647"	"Exd1"
"12376"	"ENSMUSG00000014077"	"Chp1"
"12381"	"ENSMUSG00000085438"	"1700020I14Rik"
"12383"	"ENSMUSG00000072980"	"Oip5"
"12385"	"ENSMUSG00000027306"	"Nusap1"
"12389"	"ENSMUSG00000027305"	"Ndufaf1"
"12394"	"ENSMUSG00000027304"	"Rtf1"
"12398"	"ENSMUSG00000027296"	"Itpka"
"12399"	"ENSMUSG00000027297"	"Ltk"
"12405"	"ENSMUSG00000034032"	"Rpap1"
"12414"	"ENSMUSG00000027298"	"Tyro3"
"12422"	"ENSMUSG00000033943"	"Mga"
"12437"	"ENSMUSG00000033902"	"Mapkbp1"
"12442"	"ENSMUSG00000087458"	"Gm13999"
"12443"	"ENSMUSG00000098789"	"Jmjd7"
"12448"	"ENSMUSG00000033852"	"Gm28042"
"12452"	"ENSMUSG00000098488"	"Pla2g4b"
"12458"	"ENSMUSG00000027293"	"Ehd4"
"12462"	"ENSMUSG00000050211"	"Pla2g4e"
"12466"	"ENSMUSG00000070719"	"Pla2g4d"
"12467"	"ENSMUSG00000046971"	"Pla2g4f"
"12469"	"ENSMUSG00000027291"	"Vps39"
"12479"	"ENSMUSG00000033808"	"Tmem87a"
"12486"	"ENSMUSG00000062646"	"Ganc"
"12500"	"ENSMUSG00000079110"	"Capn3"
"12513"	"ENSMUSG00000027288"	"Zfp106"
"12524"	"ENSMUSG00000097799"	"Gm26899"
"12525"	"ENSMUSG00000027287"	"Snap23"
"12534"	"ENSMUSG00000027286"	"Lrrc57"
"12541"	"ENSMUSG00000027285"	"Haus2"
"12544"	"ENSMUSG00000033705"	"Stard9"
"12551"	"ENSMUSG00000027284"	"Cdan1"
"12560"	"ENSMUSG00000090100"	"Ttbk2"
"12566"	"ENSMUSG00000027272"	"Ubr1"
"12573"	"ENSMUSG00000054484"	"Tmem62"
"12580"	"ENSMUSG00000023572"	"Ccndbp1"
"12588"	"ENSMUSG00000023216"	"Epb42"
"12595"	"ENSMUSG00000053675"	"Tgm5"
"12597"	"ENSMUSG00000079103"	"Tgm7"
"12598"	"ENSMUSG00000074890"	"Lcmt2"
"12600"	"ENSMUSG00000027259"	"Adal"
"12610"	"ENSMUSG00000050619"	"Zscan29"
"12615"	"ENSMUSG00000027263"	"Tubgcp4"
"12630"	"ENSMUSG00000043909"	"Trp53bp1"
"12649"	"ENSMUSG00000027254"	"Map1a"
"12653"	"ENSMUSG00000087704"	"Gm14978"
"12654"	"ENSMUSG00000033526"	"Ppip5k1"
"12672"	"ENSMUSG00000000308"	"Ckmt1"
"12682"	"ENSMUSG00000033498"	"Strc"
"12687"	"ENSMUSG00000033486"	"Catsper2"
"12691"	"ENSMUSG00000027248"	"Pdia3"
"12695"	"ENSMUSG00000027246"	"Ell3"
"12698"	"ENSMUSG00000046110"	"Serinc4"
"12704"	"ENSMUSG00000074884"	"Serf2"
"12710"	"ENSMUSG00000027245"	"Hypk"
"12715"	"ENSMUSG00000048222"	"Mfap1b"
"12716"	"ENSMUSG00000068479"	"Mfap1a"
"12717"	"ENSMUSG00000027242"	"Wdr76"
"12722"	"ENSMUSG00000027238"	"Frmd5"
"12735"	"ENSMUSG00000086913"	"Gm14019"
"12736"	"ENSMUSG00000060227"	"Casc4"
"12744"	"ENSMUSG00000074881"	"Mageb3"
"12745"	"ENSMUSG00000033411"	"Ctdspl2"
"12754"	"ENSMUSG00000027236"	"Eif3j1"
"12756"	"ENSMUSG00000033396"	"Spg11"
"12759"	"ENSMUSG00000027233"	"Patl2"
"12760"	"ENSMUSG00000060802"	"B2m"
"12761"	"ENSMUSG00000033368"	"Trim69"
"12763"	"ENSMUSG00000027229"	"Terb2"
"12765"	"ENSMUSG00000027227"	"Sord"
"12766"	"ENSMUSG00000068452"	"Duox2"
"12768"	"ENSMUSG00000027225"	"Duoxa2"
"12769"	"ENSMUSG00000027224"	"Duoxa1"
"12776"	"ENSMUSG00000033268"	"Duox1"
"12777"	"ENSMUSG00000033256"	"Shf"
"12787"	"ENSMUSG00000027219"	"Slc28a2"
"12792"	"ENSMUSG00000079071"	"Gm14085"
"12794"	"ENSMUSG00000027199"	"Gatm"
"12797"	"ENSMUSG00000033213"	"AA467197"
"12801"	"ENSMUSG00000005802"	"Slc30a4"
"12803"	"ENSMUSG00000085633"	"Bloc1s6os"
"12804"	"ENSMUSG00000005804"	"Bloc1s6"
"12810"	"ENSMUSG00000005803"	"Sqor"
"12819"	"ENSMUSG00000027200"	"Sema6d"
"12830"	"ENSMUSG00000085496"	"4930517E11Rik"
"12831"	"ENSMUSG00000086954"	"4930583P06Rik"
"12832"	"ENSMUSG00000087450"	"Gm13994"
"12833"	"ENSMUSG00000035183"	"Slc24a5"
"12836"	"ENSMUSG00000027201"	"Myef2"
"12845"	"ENSMUSG00000074872"	"Ctxn2"
"12846"	"ENSMUSG00000027202"	"Slc12a1"
"12850"	"ENSMUSG00000086416"	"Gm14002"
"12851"	"ENSMUSG00000027203"	"Dut"
"12854"	"ENSMUSG00000085797"	"A530010F05Rik"
"12855"	"ENSMUSG00000087682"	"Gm14003"
"12856"	"ENSMUSG00000027204"	"Fbn1"
"12859"	"ENSMUSG00000053615"	"Gm9913"
"12860"	"ENSMUSG00000068394"	"Cep152"
"12861"	"ENSMUSG00000035109"	"Shc4"
"12865"	"ENSMUSG00000091337"	"Eid1"
"12866"	"ENSMUSG00000035093"	"Secisbp2l"
"12869"	"ENSMUSG00000027206"	"Cops2"
"12874"	"ENSMUSG00000027207"	"Galk2"
"12883"	"ENSMUSG00000027209"	"Fam227b"
"12887"	"ENSMUSG00000027208"	"Fgf7"
"12890"	"ENSMUSG00000023330"	"Dtwd1"
"12892"	"ENSMUSG00000090353"	"Gm17555"
"12893"	"ENSMUSG00000060131"	"Atp8b4"
"12898"	"ENSMUSG00000097458"	"Gm26697"
"12899"	"ENSMUSG00000027359"	"Slc27a2"
"12903"	"ENSMUSG00000027360"	"Hdc"
"12908"	"ENSMUSG00000027361"	"Gabpb1"
"12917"	"ENSMUSG00000098024"	"Gm27003"
"12918"	"ENSMUSG00000027363"	"Usp8"
"12921"	"ENSMUSG00000027364"	"Usp50"
"12926"	"ENSMUSG00000027365"	"Trpm7"
"12937"	"ENSMUSG00000027366"	"Sppl2a"
"12940"	"ENSMUSG00000001998"	"Ap4e1"
"12948"	"ENSMUSG00000001999"	"Blvra"
"12953"	"ENSMUSG00000034906"	"Ncaph"
"12959"	"ENSMUSG00000074825"	"Itpripl1"
"12962"	"ENSMUSG00000044145"	"1810024B03Rik"
"12964"	"ENSMUSG00000003660"	"Snrnp200"
"12969"	"ENSMUSG00000003662"	"Ciao1"
"12974"	"ENSMUSG00000034850"	"Tmem127"
"12977"	"ENSMUSG00000027367"	"Stard7"
"12985"	"ENSMUSG00000027368"	"Dusp2"
"12987"	"ENSMUSG00000050468"	"Astl"
"12991"	"ENSMUSG00000058620"	"Adra2b"
"12993"	"ENSMUSG00000046338"	"Gpat2"
"12994"	"ENSMUSG00000027371"	"Fahd2a"
"13001"	"ENSMUSG00000079056"	"Kcnip3"
"13005"	"ENSMUSG00000027376"	"Prom2"
"13009"	"ENSMUSG00000034800"	"Zfp661"
"13013"	"ENSMUSG00000027374"	"Mrps5"
"13020"	"ENSMUSG00000027375"	"Mal"
"13022"	"ENSMUSG00000087162"	"Gm14244"
"13023"	"ENSMUSG00000027377"	"Mall"
"13024"	"ENSMUSG00000027378"	"Nphp1"
"13028"	"ENSMUSG00000051319"	"1500011K16Rik"
"13029"	"ENSMUSG00000027379"	"Bub1"
"13034"	"ENSMUSG00000027380"	"Acoxl"
"13037"	"ENSMUSG00000027381"	"Bcl2l11"
"13045"	"ENSMUSG00000074813"	"Gm14005"
"13055"	"ENSMUSG00000085750"	"Gm14009"
"13056"	"ENSMUSG00000086879"	"Gm14012"
"13057"	"ENSMUSG00000079053"	"Gm14010"
"13058"	"ENSMUSG00000114963"	"Gm29010"
"13059"	"ENSMUSG00000074812"	"Spdye4c"
"13062"	"ENSMUSG00000109931"	"Gm39929"
"13063"	"ENSMUSG00000014355"	"Anapc1"
"13074"	"ENSMUSG00000014361"	"Mertk"
"13076"	"ENSMUSG00000085036"	"Gm14011"
"13077"	"ENSMUSG00000014353"	"Tmem87b"
"13082"	"ENSMUSG00000027386"	"Fbln7"
"13084"	"ENSMUSG00000027387"	"Zc3h8"
"13085"	"ENSMUSG00000087267"	"4933427J07Rik"
"13086"	"ENSMUSG00000074807"	"Gm10762"
"13087"	"ENSMUSG00000042851"	"Zc3h6"
"13089"	"ENSMUSG00000079051"	"Gm14025"
"13090"	"ENSMUSG00000027394"	"Ttl"
"13093"	"ENSMUSG00000027395"	"Polr1b"
"13098"	"ENSMUSG00000037938"	"Chchd5"
"13101"	"ENSMUSG00000084826"	"AI847159"
"13105"	"ENSMUSG00000086652"	"Gm14029"
"13106"	"ENSMUSG00000027397"	"Slc20a1"
"13114"	"ENSMUSG00000056738"	"A730036I17Rik"
"13117"	"ENSMUSG00000085485"	"Gm14024"
"13118"	"ENSMUSG00000048327"	"Ckap2l"
"13119"	"ENSMUSG00000027399"	"Il1a"
"13120"	"ENSMUSG00000027398"	"Il1b"
"13123"	"ENSMUSG00000074805"	"Il1bos"
"13126"	"ENSMUSG00000043727"	"F830045P16Rik"
"13127"	"ENSMUSG00000087015"	"Gm14041"
"13128"	"ENSMUSG00000037902"	"Sirpa"
"13142"	"ENSMUSG00000027400"	"Pdyn"
"13145"	"ENSMUSG00000037885"	"Stk35"
"13147"	"ENSMUSG00000100255"	"Gm28196"
"13148"	"ENSMUSG00000027401"	"Tgm3"
"13149"	"ENSMUSG00000027403"	"Tgm6"
"13152"	"ENSMUSG00000027404"	"Snrpb"
"13156"	"ENSMUSG00000060332"	"Tmc2"
"13158"	"ENSMUSG00000027405"	"Nop56"
"13177"	"ENSMUSG00000027406"	"Idh3b"
"13181"	"ENSMUSG00000053552"	"Ebf4"
"13187"	"ENSMUSG00000027408"	"Cpxm1"
"13189"	"ENSMUSG00000100963"	"Gm28372"
"13190"	"ENSMUSG00000027409"	"1700020A23Rik"
"13193"	"ENSMUSG00000049692"	"Tmem239"
"13194"	"ENSMUSG00000037773"	"Pced1a"
"13201"	"ENSMUSG00000027411"	"Vps16"
"13210"	"ENSMUSG00000027303"	"Ptpra"
"13220"	"ENSMUSG00000060029"	"4930473A02Rik"
"13222"	"ENSMUSG00000037740"	"Mrps26"
"13224"	"ENSMUSG00000027301"	"Oxt"
"13225"	"ENSMUSG00000037727"	"Avp"
"13226"	"ENSMUSG00000027300"	"Ubox5"
"13228"	"ENSMUSG00000079043"	"Fastkd5"
"13230"	"ENSMUSG00000037703"	"Lzts3"
"13233"	"ENSMUSG00000068290"	"Ddrgk1"
"13239"	"ENSMUSG00000074797"	"Itpa"
"13244"	"ENSMUSG00000074796"	"Slc4a11"
"13249"	"ENSMUSG00000027309"	"4930402H24Rik"
"13266"	"ENSMUSG00000027312"	"Atrn"
"13271"	"ENSMUSG00000027316"	"Gfra4"
"13279"	"ENSMUSG00000027318"	"Adam33"
"13292"	"ENSMUSG00000027322"	"Siglec1"
"13295"	"ENSMUSG00000074793"	"Hspa12b"
"13298"	"ENSMUSG00000079039"	"Gm11037"
"13299"	"ENSMUSG00000027327"	"1700037H04Rik"
"13306"	"ENSMUSG00000087405"	"Gm14232"
"13307"	"ENSMUSG00000027329"	"Spef1"
"13310"	"ENSMUSG00000068267"	"Cenpb"
"13311"	"ENSMUSG00000027330"	"Cdc25b"
"13318"	"ENSMUSG00000068264"	"Ap5s1"
"13326"	"ENSMUSG00000037523"	"Mavs"
"13330"	"ENSMUSG00000037514"	"Pank2"
"13338"	"ENSMUSG00000048911"	"Rnf24"
"13343"	"ENSMUSG00000027333"	"Smox"
"13360"	"ENSMUSG00000027335"	"Adra1d"
"13361"	"ENSMUSG00000087524"	"Gm14285"
"13362"	"ENSMUSG00000086831"	"Gm14280"
"13363"	"ENSMUSG00000086822"	"5330413P13Rik"
"13368"	"ENSMUSG00000037482"	"Erv3"
"13369"	"ENSMUSG00000079037"	"Prnp"
"13371"	"ENSMUSG00000098754"	"Prn"
"13373"	"ENSMUSG00000027338"	"Prnd"
"13377"	"ENSMUSG00000027339"	"Rassf2"
"13382"	"ENSMUSG00000027340"	"Slc23a2"
"13389"	"ENSMUSG00000086756"	"Gm14051"
"13390"	"ENSMUSG00000027341"	"Tmem230"
"13396"	"ENSMUSG00000027342"	"Pcna"
"13401"	"ENSMUSG00000087377"	"AV099323"
"13402"	"ENSMUSG00000058793"	"Cds2"
"13408"	"ENSMUSG00000050558"	"Prokr2"
"13413"	"ENSMUSG00000027345"	"4921508D12Rik"
"13414"	"ENSMUSG00000086250"	"Gm14095"
"13415"	"ENSMUSG00000086379"	"1700026D11Rik"
"13421"	"ENSMUSG00000027346"	"Gpcpd1"
"13434"	"ENSMUSG00000074783"	"AU019990"
"13437"	"ENSMUSG00000044991"	"1110034G24Rik"
"13441"	"ENSMUSG00000084839"	"Gm14097"
"13442"	"ENSMUSG00000027350"	"Chgb"
"13443"	"ENSMUSG00000037376"	"Trmt6"
"13449"	"ENSMUSG00000027353"	"Mcm8"
"13452"	"ENSMUSG00000086575"	"Gm14104"
"13453"	"ENSMUSG00000027357"	"Crls1"
"13458"	"ENSMUSG00000043110"	"Lrrn4"
"13459"	"ENSMUSG00000027356"	"Fermt1"
"13463"	"ENSMUSG00000086478"	"Gm14102"
"13464"	"ENSMUSG00000086650"	"A430048G15Rik"
"13465"	"ENSMUSG00000087585"	"Gm14100"
"13466"	"ENSMUSG00000027358"	"Bmp2"
"13467"	"ENSMUSG00000027261"	"Hao1"
"13469"	"ENSMUSG00000034723"	"Tmx4"
"13473"	"ENSMUSG00000051177"	"Plcb1"
"13481"	"ENSMUSG00000085247"	"4930545L23Rik"
"13482"	"ENSMUSG00000085631"	"9630028H03Rik"
"13484"	"ENSMUSG00000084762"	"Platr3"
"13485"	"ENSMUSG00000039943"	"Plcb4"
"13500"	"ENSMUSG00000085709"	"Gm14211"
"13501"	"ENSMUSG00000086928"	"Gm14210"
"13502"	"ENSMUSG00000027270"	"Lamp5"
"13507"	"ENSMUSG00000039913"	"Pak7"
"13510"	"ENSMUSG00000085383"	"Gm14218"
"13511"	"ENSMUSG00000074771"	"Ankef1"
"13521"	"ENSMUSG00000027273"	"Snap25"
"13524"	"ENSMUSG00000027274"	"Mkks"
"13527"	"ENSMUSG00000115423"	"AL731706.1"
"13528"	"ENSMUSG00000116563"	"AL731706.2"
"13529"	"ENSMUSG00000027281"	"Slx4ip"
"13535"	"ENSMUSG00000027276"	"Jag1"
"13537"	"ENSMUSG00000099683"	"Gm28214"
"13538"	"ENSMUSG00000085504"	"Gm14055"
"13539"	"ENSMUSG00000085640"	"Gm14064"
"13540"	"ENSMUSG00000086214"	"Gm14062"
"13541"	"ENSMUSG00000062098"	"Btbd3"
"13545"	"ENSMUSG00000085911"	"Gm14061"
"13546"	"ENSMUSG00000039092"	"Sptlc3"
"13548"	"ENSMUSG00000074766"	"Ism1"
"13550"	"ENSMUSG00000039033"	"Tasp1"
"13554"	"ENSMUSG00000045624"	"Esf1"
"13559"	"ENSMUSG00000078197"	"Gm17374"
"13560"	"ENSMUSG00000027384"	"Ndufaf5"
"13563"	"ENSMUSG00000074764"	"Sel1l2"
"13566"	"ENSMUSG00000068205"	"Macrod2"
"13580"	"ENSMUSG00000051379"	"Flrt3"
"13583"	"ENSMUSG00000074763"	"Macrod2os2"
"13585"	"ENSMUSG00000086450"	"Macrod2os1"
"13586"	"ENSMUSG00000038844"	"Kif16b"
"13591"	"ENSMUSG00000086504"	"Kif16bos"
"13592"	"ENSMUSG00000008333"	"Snrpb2"
"13597"	"ENSMUSG00000027416"	"Otor"
"13598"	"ENSMUSG00000086171"	"Pcsk2os1"
"13600"	"ENSMUSG00000027419"	"Pcsk2"
"13602"	"ENSMUSG00000087115"	"Pcsk2os2"
"13604"	"ENSMUSG00000027420"	"Bfsp1"
"13606"	"ENSMUSG00000015932"	"Dstn"
"13607"	"ENSMUSG00000027422"	"Rrbp1"
"13615"	"ENSMUSG00000037307"	"Banf2"
"13617"	"ENSMUSG00000086384"	"Banf2os"
"13619"	"ENSMUSG00000074758"	"Gm5535"
"13630"	"ENSMUSG00000085127"	"4930444E06Rik"
"13631"	"ENSMUSG00000027423"	"Snx5"
"13639"	"ENSMUSG00000027424"	"Mgme1"
"13642"	"ENSMUSG00000037279"	"Ovol2"
"13645"	"ENSMUSG00000084837"	"1700108N11Rik"
"13646"	"ENSMUSG00000027425"	"Kat14"
"13657"	"ENSMUSG00000098387"	"Pet117"
"13658"	"ENSMUSG00000037259"	"Dzank1"
"13662"	"ENSMUSG00000027427"	"Polr3f"
"13669"	"ENSMUSG00000027428"	"Rbbp9"
"13671"	"ENSMUSG00000027429"	"Sec23b"
"13679"	"ENSMUSG00000074754"	"Smim26"
"13680"	"ENSMUSG00000027430"	"Dtd1"
"13685"	"ENSMUSG00000027431"	"Scp2d1"
"13686"	"ENSMUSG00000063873"	"Slc24a3"
"13691"	"ENSMUSG00000074753"	"Gm14092"
"13692"	"ENSMUSG00000001768"	"Rin2"
"13703"	"ENSMUSG00000002728"	"Naa20"
"13712"	"ENSMUSG00000001767"	"Crnkl1"
"13715"	"ENSMUSG00000037143"	"Cfap61"
"13729"	"ENSMUSG00000068154"	"Insm1"
"13730"	"ENSMUSG00000037110"	"Ralgapa2"
"13741"	"ENSMUSG00000085958"	"A930019D19Rik"
"13742"	"ENSMUSG00000085796"	"4933406D12Rik"
"13743"	"ENSMUSG00000087618"	"Gm14114"
"13744"	"ENSMUSG00000074749"	"Kiz"
"13747"	"ENSMUSG00000027433"	"Xrn2"
"13751"	"ENSMUSG00000054160"	"Nkx2-4"
"13752"	"ENSMUSG00000027434"	"Nkx2-2"
"13756"	"ENSMUSG00000086509"	"Nkx2-2os"
"13757"	"ENSMUSG00000053545"	"6430503K07Rik"
"13758"	"ENSMUSG00000084774"	"Gm14110"
"13759"	"ENSMUSG00000087521"	"AI646519"
"13760"	"ENSMUSG00000037034"	"Pax1"
"13763"	"ENSMUSG00000051986"	"A530006G24Rik"
"13764"	"ENSMUSG00000086141"	"9030622O22Rik"
"13767"	"ENSMUSG00000037025"	"Foxa2"
"13771"	"ENSMUSG00000037014"	"Sstr4"
"13772"	"ENSMUSG00000074743"	"Thbd"
"13773"	"ENSMUSG00000027435"	"Cd93"
"13774"	"ENSMUSG00000087678"	"Gm14120"
"13775"	"ENSMUSG00000036992"	"Nxt1"
"13777"	"ENSMUSG00000027439"	"Gzf1"
"13780"	"ENSMUSG00000027438"	"Napb"
"13783"	"ENSMUSG00000055177"	"Cstl1"
"13786"	"ENSMUSG00000036958"	"Cst11"
"13787"	"ENSMUSG00000027444"	"8030411F24Rik"
"13788"	"ENSMUSG00000027443"	"Cst12"
"13790"	"ENSMUSG00000027442"	"Cst8"
"13793"	"ENSMUSG00000036924"	"Cst13"
"13794"	"ENSMUSG00000027445"	"Cst9"
"13795"	"ENSMUSG00000027446"	"9230104L09Rik"
"13797"	"ENSMUSG00000027447"	"Cst3"
"13800"	"ENSMUSG00000063507"	"Gm1330"
"13802"	"ENSMUSG00000074739"	"Gm10750"
"13803"	"ENSMUSG00000086963"	"Gm14135"
"13804"	"ENSMUSG00000033156"	"Cst10"
"13807"	"ENSMUSG00000087029"	"Gm14133"
"13809"	"ENSMUSG00000074736"	"Syndig1"
"13815"	"ENSMUSG00000074737"	"C530025M09Rik"
"13816"	"ENSMUSG00000068134"	"Zfp120"
"13821"	"ENSMUSG00000074837"	"Gm10770"
"13822"	"ENSMUSG00000079009"	"Gm14139"
"13824"	"ENSMUSG00000060336"	"Zfp937"
"13825"	"ENSMUSG00000074735"	"Gm21994"
"13826"	"ENSMUSG00000079008"	"Gm14124"
"13827"	"ENSMUSG00000063364"	"3300002I08Rik"
"13831"	"ENSMUSG00000095315"	"Gm10130"
"13832"	"ENSMUSG00000068130"	"Zfp442"
"13834"	"ENSMUSG00000074731"	"Zfp345"
"13835"	"ENSMUSG00000068129"	"Cst7"
