ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata
AllenDend:CS201908210_11	MTG 011 - CS201908210_11	Inh L1-2 VIP TSPAN12 - CS201908210_11	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_91	Inh L1-2 VIP TSPAN12		Inh L1-2 VIP TSPAN12	Inh L1-2 VIP TSPAN12	MTG 011			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1-2 VIP TSPAN12"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#6C00BF"", ""nodePar.col"": ""#6C00BF"", ""cell_set_accession"": ""CS201908210_11"", ""original_label"": ""Inh L1-2 VIP TSPAN12"", ""cell_set_label"": ""MTG 011"", ""cell_set_preferred_alias"": ""Inh L1-2 VIP TSPAN12"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-2 VIP TSPAN12"", ""is_leaf"": true}"
AllenDend:CS201908210_12	MTG 012 - CS201908210_12	Inh L1-4 VIP CHRNA6 - CS201908210_12	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_91	Inh L1-4 VIP CHRNA6		Inh L1-4 VIP CHRNA6	Inh L1-4 VIP CHRNA6	MTG 012			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1-4 VIP CHRNA6"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#7A0099"", ""nodePar.col"": ""#7A0099"", ""cell_set_accession"": ""CS201908210_12"", ""original_label"": ""Inh L1-4 VIP CHRNA6"", ""cell_set_label"": ""MTG 012"", ""cell_set_preferred_alias"": ""Inh L1-4 VIP CHRNA6"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-4 VIP CHRNA6"", ""is_leaf"": true}"
AllenDend:CS201908210_92	MTG 013-014 - CS201908210_92	 - CS201908210_92	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_86	n17			n17	MTG 013-014			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 2, ""midpoint"": 0.5, ""height"": 0.172, ""label"": """", ""cell_set_accession"": ""CS201908210_92"", ""original_label"": ""n17"", ""cell_set_label"": ""MTG 013-014"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n17""}"
AllenDend:CS201908210_13	MTG 013 - CS201908210_13	Inh L1-3 VIP ADAMTSL1 - CS201908210_13	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_92	Inh L1-3 VIP ADAMTSL1		Inh L1-3 VIP ADAMTSL1	Inh L1-3 VIP ADAMTSL1	MTG 013			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1-3 VIP ADAMTSL1"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#7779BF"", ""nodePar.col"": ""#7779BF"", ""cell_set_accession"": ""CS201908210_13"", ""original_label"": ""Inh L1-3 VIP ADAMTSL1"", ""cell_set_label"": ""MTG 013"", ""cell_set_preferred_alias"": ""Inh L1-3 VIP ADAMTSL1"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-3 VIP ADAMTSL1"", ""is_leaf"": true}"
AllenDend:CS201908210_14	MTG 014 - CS201908210_14	Inh L1-4 VIP PENK - CS201908210_14	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_92	Inh L1-4 VIP PENK		Inh L1-4 VIP PENK	Inh L1-4 VIP PENK	MTG 014			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1-4 VIP PENK"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#3C3D73"", ""nodePar.col"": ""#3C3D73"", ""cell_set_accession"": ""CS201908210_14"", ""original_label"": ""Inh L1-4 VIP PENK"", ""cell_set_label"": ""MTG 014"", ""cell_set_preferred_alias"": ""Inh L1-4 VIP PENK"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-4 VIP PENK"", ""is_leaf"": true}"
AllenDend:CS201908210_93	MTG 015-027 - CS201908210_93	 - CS201908210_93	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_85	n18			n18	MTG 015-027			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 13, ""midpoint"": 5.5938, ""height"": 0.2296, ""label"": """", ""cell_set_accession"": ""CS201908210_93"", ""original_label"": ""n18"", ""cell_set_label"": ""MTG 015-027"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n18""}"
AllenDend:CS201908210_94	MTG 015-019 - CS201908210_94	 - CS201908210_94	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_93	n19			n19	MTG 015-019			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 5, ""midpoint"": 2.375, ""height"": 0.2035, ""label"": """", ""cell_set_accession"": ""CS201908210_94"", ""original_label"": ""n19"", ""cell_set_label"": ""MTG 015-019"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n19""}"
AllenDend:CS201908210_95	MTG 015-017 - CS201908210_95	 - CS201908210_95	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_94	n20			n20	MTG 015-017			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 3, ""midpoint"": 1.25, ""height"": 0.1598, ""label"": """", ""cell_set_accession"": ""CS201908210_95"", ""original_label"": ""n20"", ""cell_set_label"": ""MTG 015-017"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n20""}"
AllenDend:CS201908210_96	MTG 015-016 - CS201908210_96	 - CS201908210_96	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_95	n21			n21	MTG 015-016			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 2, ""midpoint"": 0.5, ""height"": 0.1211, ""label"": """", ""cell_set_accession"": ""CS201908210_96"", ""original_label"": ""n21"", ""cell_set_label"": ""MTG 015-016"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n21""}"
AllenDend:CS201908210_15	MTG 015 - CS201908210_15	Inh L2-6 VIP QPCT - CS201908210_15	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_96	Inh L2-6 VIP QPCT		Inh L2-6 VIP QPCT	Inh L2-6 VIP QPCT	MTG 015			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L2-6 VIP QPCT"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#A700FF"", ""nodePar.col"": ""#A700FF"", ""cell_set_accession"": ""CS201908210_15"", ""original_label"": ""Inh L2-6 VIP QPCT"", ""cell_set_label"": ""MTG 015"", ""cell_set_preferred_alias"": ""Inh L2-6 VIP QPCT"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L2-6 VIP QPCT"", ""is_leaf"": true}"
AllenDend:CS201908210_16	MTG 016 - CS201908210_16	Inh L3-6 VIP HS3ST3A1 - CS201908210_16	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_96	Inh L3-6 VIP HS3ST3A1		Inh L3-6 VIP HS3ST3A1	Inh L3-6 VIP HS3ST3A1	MTG 016			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L3-6 VIP HS3ST3A1"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#FF00FF"", ""nodePar.col"": ""#FF00FF"", ""cell_set_accession"": ""CS201908210_16"", ""original_label"": ""Inh L3-6 VIP HS3ST3A1"", ""cell_set_label"": ""MTG 016"", ""cell_set_preferred_alias"": ""Inh L3-6 VIP HS3ST3A1"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L3-6 VIP HS3ST3A1"", ""is_leaf"": true}"
AllenDend:CS201908210_17	MTG 017 - CS201908210_17	Inh L1-2 VIP PCDH20 - CS201908210_17	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_95	Inh L1-2 VIP PCDH20		Inh L1-2 VIP PCDH20	Inh L1-2 VIP PCDH20	MTG 017			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 1, ""height"": 0, ""label"": ""Inh L1-2 VIP PCDH20"", ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#BD3D9A"", ""nodePar.col"": ""#BD3D9A"", ""cell_set_accession"": ""CS201908210_17"", ""original_label"": ""Inh L1-2 VIP PCDH20"", ""cell_set_label"": ""MTG 017"", ""cell_set_preferred_alias"": ""Inh L1-2 VIP PCDH20"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-2 VIP PCDH20"", ""is_leaf"": true}"
AllenDend:CS201908210_97	MTG 018-019 - CS201908210_97	 - CS201908210_97	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_94	n22			n22	MTG 018-019			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 2, ""midpoint"": 0.5, ""height"": 0.1208, ""label"": """", ""cell_set_accession"": ""CS201908210_97"", ""original_label"": ""n22"", ""cell_set_label"": ""MTG 018-019"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n22""}"
AllenDend:CS201908210_18	MTG 018 - CS201908210_18	Inh L2-5 VIP SERPINF1 - CS201908210_18	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_97	Inh L2-5 VIP SERPINF1		Inh L2-5 VIP SERPINF1	Inh L2-5 VIP SERPINF1	MTG 018			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L2-5 VIP SERPINF1"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#B09FFF"", ""nodePar.col"": ""#B09FFF"", ""cell_set_accession"": ""CS201908210_18"", ""original_label"": ""Inh L2-5 VIP SERPINF1"", ""cell_set_label"": ""MTG 018"", ""cell_set_preferred_alias"": ""Inh L2-5 VIP SERPINF1"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L2-5 VIP SERPINF1"", ""is_leaf"": true}"
AllenDend:CS201908210_19	MTG 019 - CS201908210_19	Inh L2-5 VIP TYR - CS201908210_19	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_97	Inh L2-5 VIP TYR		Inh L2-5 VIP TYR	Inh L2-5 VIP TYR	MTG 019			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L2-5 VIP TYR"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#FF4DC1"", ""nodePar.col"": ""#FF4DC1"", ""cell_set_accession"": ""CS201908210_19"", ""original_label"": ""Inh L2-5 VIP TYR"", ""cell_set_label"": ""MTG 019"", ""cell_set_preferred_alias"": ""Inh L2-5 VIP TYR"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L2-5 VIP TYR"", ""is_leaf"": true}"
AllenDend:CS201908210_98	MTG 020-027 - CS201908210_98	 - CS201908210_98	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_93	n23			n23	MTG 020-027			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 8, ""midpoint"": 3.8125, ""height"": 0.188, ""label"": """", ""cell_set_accession"": ""CS201908210_98"", ""original_label"": ""n23"", ""cell_set_label"": ""MTG 020-027"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n23""}"
AllenDend:CS201908210_99	MTG 020-023 - CS201908210_99	 - CS201908210_99	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_98	n24			n24	MTG 020-023			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 4, ""midpoint"": 2.125, ""height"": 0.1341, ""label"": """", ""cell_set_accession"": ""CS201908210_99"", ""original_label"": ""n24"", ""cell_set_label"": ""MTG 020-023"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n24""}"
AllenDend:CS201908210_100	MTG 020-022 - CS201908210_100	 - CS201908210_100	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_99	n25			n25	MTG 020-022			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 3, ""midpoint"": 1.25, ""height"": 0.0953, ""label"": """", ""cell_set_accession"": ""CS201908210_100"", ""original_label"": ""n25"", ""cell_set_label"": ""MTG 020-022"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n25""}"
AllenDend:CS201908210_101	MTG 020-021 - CS201908210_101	 - CS201908210_101	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_100	n26			n26	MTG 020-021			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 2, ""midpoint"": 0.5, ""height"": 0.0836, ""label"": """", ""cell_set_accession"": ""CS201908210_101"", ""original_label"": ""n26"", ""cell_set_label"": ""MTG 020-021"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n26""}"
AllenDend:CS201908210_20	MTG 020 - CS201908210_20	Inh L1-3 VIP CHRM2 - CS201908210_20	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_101	Inh L1-3 VIP CHRM2		Inh L1-3 VIP CHRM2	Inh L1-3 VIP CHRM2	MTG 020			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1-3 VIP CHRM2"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#9FAAFF"", ""nodePar.col"": ""#9FAAFF"", ""cell_set_accession"": ""CS201908210_20"", ""original_label"": ""Inh L1-3 VIP CHRM2"", ""cell_set_label"": ""MTG 020"", ""cell_set_preferred_alias"": ""Inh L1-3 VIP CHRM2"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-3 VIP CHRM2"", ""is_leaf"": true}"
AllenDend:CS201908210_21	MTG 021 - CS201908210_21	Inh L2-4 VIP CBLN1 - CS201908210_21	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_101	Inh L2-4 VIP CBLN1		Inh L2-4 VIP CBLN1	Inh L2-4 VIP CBLN1	MTG 021			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L2-4 VIP CBLN1"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#756FB3"", ""nodePar.col"": ""#756FB3"", ""cell_set_accession"": ""CS201908210_21"", ""original_label"": ""Inh L2-4 VIP CBLN1"", ""cell_set_label"": ""MTG 021"", ""cell_set_preferred_alias"": ""Inh L2-4 VIP CBLN1"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L2-4 VIP CBLN1"", ""is_leaf"": true}"
AllenDend:CS201908210_22	MTG 022 - CS201908210_22	Inh L1-3 VIP CCDC184 - CS201908210_22	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_100	Inh L1-3 VIP CCDC184		Inh L1-3 VIP CCDC184	Inh L1-3 VIP CCDC184	MTG 022			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 1, ""height"": 0, ""label"": ""Inh L1-3 VIP CCDC184"", ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#FF00B3"", ""nodePar.col"": ""#FF00B3"", ""cell_set_accession"": ""CS201908210_22"", ""original_label"": ""Inh L1-3 VIP CCDC184"", ""cell_set_label"": ""MTG 022"", ""cell_set_preferred_alias"": ""Inh L1-3 VIP CCDC184"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-3 VIP CCDC184"", ""is_leaf"": true}"
AllenDend:CS201908210_23	MTG 023 - CS201908210_23	Inh L1-3 VIP GGH - CS201908210_23	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_99	Inh L1-3 VIP GGH		Inh L1-3 VIP GGH	Inh L1-3 VIP GGH	MTG 023			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 1, ""height"": 0, ""label"": ""Inh L1-3 VIP GGH"", ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#B3128A"", ""nodePar.col"": ""#B3128A"", ""cell_set_accession"": ""CS201908210_23"", ""original_label"": ""Inh L1-3 VIP GGH"", ""cell_set_label"": ""MTG 023"", ""cell_set_preferred_alias"": ""Inh L1-3 VIP GGH"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-3 VIP GGH"", ""is_leaf"": true}"
AllenDend:CS201908210_102	MTG 024-027 - CS201908210_102	 - CS201908210_102	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_98	n27			n27	MTG 024-027			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 4, ""midpoint"": 1.5, ""height"": 0.1729, ""label"": """", ""cell_set_accession"": ""CS201908210_102"", ""original_label"": ""n27"", ""cell_set_label"": ""MTG 024-027"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n27""}"
AllenDend:CS201908210_103	MTG 024-025 - CS201908210_103	 - CS201908210_103	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_102	n28			n28	MTG 024-025			Trygve Bakken	10.1038/s41586-019-1506-7	"{""members"": 2, ""midpoint"": 0.5, ""height"": 0.0934, ""label"": """", ""cell_set_accession"": ""CS201908210_103"", ""original_label"": ""n28"", ""cell_set_label"": ""MTG 024-025"", ""cell_set_preferred_alias"": """", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""n28""}"
AllenDend:CS201908210_24	MTG 024 - CS201908210_24	Inh L1-2 VIP LBH - CS201908210_24	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS201908210_103	Inh L1-2 VIP LBH		Inh L1-2 VIP LBH	Inh L1-2 VIP LBH	MTG 024			Trygve Bakken	10.1038/s41586-019-1506-7	"{""label"": ""Inh L1-2 VIP LBH"", ""members"": 1, ""height"": 0, ""leaf"": true, ""nodePar.pch"": 19, ""nodePar.cex"": 2, ""nodePar.lab.cex"": 0.25, ""nodePar.lab.col"": ""#AF00E6"", ""nodePar.col"": ""#AF00E6"", ""cell_set_accession"": ""CS201908210_24"", ""original_label"": ""Inh L1-2 VIP LBH"", ""cell_set_label"": ""MTG 024"", ""cell_set_preferred_alias"": ""Inh L1-2 VIP LBH"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_structure"": ""middle temporal gyrus"", ""cell_set_ontology_tag"": ""UBERON:0002771"", ""cell_set_alias_assignee"": ""Trygve Bakken"", ""cell_set_alias_citation"": ""10.1038/s41586-019-1506-7"", ""taxonomy_id"": ""CCN201908210"", ""_row"": ""Inh L1-2 VIP LBH"", ""is_leaf"": true}"
