Taxonomy_node_ID	clusterName	Markers Delimited
CS202002013_125		ENSMUSG00000075270|ENSMUSG00000029819
CS202002013_142		ENSMUSG00000019772
CS202002013_160		ENSMUSG00000021680|ENSMUSG00000048988
CS202002013_173		ENSMUSG00000010461|ENSMUSG00000052353
CS202002013_186		ENSMUSG00000059203|ENSMUSG00000038331
CS202002013_198		ENSMUSG00000029563|ENSMUSG00000078591
CS202002013_126		ENSMUSG00000021508|ENSMUSG00000042453
CS202002013_129		ENSMUSG00000051111|ENSMUSG00000075270
CS202002013_133		ENSMUSG00000017978
CS202002013_145		ENSMUSG00000030170|ENSMUSG00000019772
CS202002013_154		ENSMUSG00000062151|ENSMUSG00000059203
CS202002013_162		ENSMUSG00000004366|ENSMUSG00000048988|ENSMUSG00000055761
CS202002013_174		ENSMUSG00000010461|ENSMUSG00000052353
CS202002013_187		ENSMUSG00000036192|ENSMUSG00000034687|ENSMUSG00000036264
CS202002013_193		ENSMUSG00000022206|ENSMUSG00000098760
CS202002013_199		ENSMUSG00000029563|ENSMUSG00000078591
CS202002013_204		ENSMUSG00000116029|ENSMUSG00000019997
CS202002013_222		ENSMUSG00000017897|ENSMUSG00000039004
CS202002013_229		ENSMUSG00000026288
CS202002013_212		ENSMUSG00000031425|ENSMUSG00000033740
CS202002013_103		ENSMUSG00000030237|ENSMUSG00000039167
CS202002013_127		ENSMUSG00000021508|ENSMUSG00000042453
CS202002013_130		ENSMUSG00000075270|ENSMUSG00000005672
CS202002013_135		ENSMUSG00000028004|ENSMUSG00000029101
CS202002013_139		ENSMUSG00000022371|ENSMUSG00000038718|ENSMUSG00000022425
CS202002013_143		ENSMUSG00000019772|ENSMUSG00000049796|ENSMUSG00000000805
CS202002013_146		ENSMUSG00000048776|ENSMUSG00000030170|ENSMUSG00000019772
CS202002013_156		ENSMUSG00000027400|ENSMUSG00000062151
CS202002013_159		ENSMUSG00000024598|ENSMUSG00000031997|ENSMUSG00000038156
CS202002013_163		ENSMUSG00000004366|ENSMUSG00000003746|ENSMUSG00000042453
CS202002013_165		ENSMUSG00000049796|ENSMUSG00000036019|ENSMUSG00000031841
CS202002013_175		ENSMUSG00000034324|ENSMUSG00000050830|ENSMUSG00000038048
CS202002013_183		ENSMUSG00000059187|ENSMUSG00000028222|ENSMUSG00000056427
CS202002013_189		ENSMUSG00000116610|ENSMUSG00000059203
CS202002013_194		ENSMUSG00000090125|ENSMUSG00000021541|ENSMUSG00000068196
